step,contour_error,v_u_policy,v_u_exec,v_ratio_cap,v_ratio_brake,cap_violation_ratio,tracking_reward,cap_violation_penalty,corridor_active,reward
0,0.0,0.8,0.04382554897722839,0.04382554897722839,0.31308498309055016,0.0,0.1,0.0,0.0,-1.3714732690229
1,0.0,0.8,0.04382554897722839,0.04382554897722839,0.3122854569729594,0.0,0.1,0.0,0.0,-1.2969694662419216
2,0.0,0.8,0.04382554897722839,0.04382554897722839,0.30987450143051476,0.0,0.1,0.0,0.0,-1.1874637620704536
3,0.0,0.8,0.04382554897722839,0.04382554897722839,0.3049954206817048,0.0,0.1,0.0,0.0,1.971516010564409
4,0.0,0.8,0.04382554897722839,0.04382554897722839,0.2977241201835808,0.0,0.1,0.0,0.0,-1.0889231712183
5,0.0,0.8,0.03506048889152458,0.03506048889152458,0.29027073025257716,0.0,0.1,0.0,0.0,-1.133138286215155
6,0.0,0.8,0.03506048889152458,0.03506048889152458,0.284167288673788,0.0,0.1,0.0,0.0,-0.1935774679978642
7,0.0,0.8,0.03506048889152458,0.03506048889152458,0.2779298455780874,0.0,0.1,0.0,0.0,2.866861713784845
8,0.0,0.8,0.03506048889152458,0.03506048889152458,0.2715491671390414,0.0,0.1,0.0,0.0,2.866861713784845
9,0.0,0.8,0.0350604868915469,0.0350604868915469,0.2650149076651247,0.0,0.1,0.0,0.0,2.866860103713869
10,0.0,0.8,0.0350604868915469,0.0350604868915469,0.2583154130043345,0.0,0.1,0.0,0.0,2.866860103713869
11,0.0,0.8,0.0350604868915469,0.0350604868915469,0.25143747514331516,0.0,0.0,0.0,0.0,-4.437553636596706
12,0.0,0.8,0.026295404351052185,0.026295404351052185,0.24436602713407307,0.0,0.0,0.0,0.0,-8.563215659345392
13,0.0,0.8,0.026295404351052185,0.026295404351052185,0.23892512379861877,0.0,0.0,0.0,0.0,-8.64925008989113
14,0.0,0.8,0.026295404351052185,0.026295404351052185,0.2333573961696524,0.0,0.0,0.0,0.0,-4.739637754503289
15,0.0,0.8,0.026295404351052185,0.026295404351052185,0.22765353920370945,0.0,0.0,0.0,0.0,-4.834025644229126
16,0.0,0.8,0.026295404351052185,0.026295404351052185,0.22180305109909929,0.0,0.0,0.0,0.0,-4.931938655339588
17,0.0,0.8,0.026295404351052185,0.026295404351052185,0.21579400603762014,0.0,0.0,0.0,0.0,-5.032783418705348
18,0.0,0.8,0.026295404351052185,0.026295404351052185,0.20961276823385355,0.0,0.0,0.0,0.0,-5.135860430370637
19,0.0,0.8,0.026295404351052185,0.026295404351052185,0.2032436276284056,0.0,0.0,0.0,0.0,-5.240384560476753
20,0.0,0.8,0.017530295355708856,0.017530295355708856,0.1966683292664296,0.0,0.0,0.0,0.0,-9.354671891850813
21,0.0,0.8,0.017530295355708856,0.017530295355708856,0.19215983503551906,0.0,0.0,0.0,0.0,-9.424755632492769
22,0.0,0.8,0.017530295355708856,0.017530295355708856,0.18754298884604298,0.0,0.0,0.0,0.0,-5.494593639674359
23,0.0,0.8,0.017530295355708856,0.017530295355708856,0.18280958161359082,0.0,0.0,0.0,0.0,-5.563932897914048
24,0.0,0.8,0.017530295355708856,0.017530295355708856,0.1779503121496707,0.0,0.0,0.0,0.0,-5.632529395660854
25,0.0,0.8,0.017530295355708856,0.017530295355708856,0.17295457223963273,0.0,0.0,0.0,0.0,-5.700152265732341
26,0.0,0.8,0.017530295355708856,0.017530295355708856,0.16781017407482612,0.0,0.0,0.0,0.0,-5.766587394154702
27,0.0,0.8,0.017530295355708856,0.017530295355708856,0.16250299993370143,0.0,0.0,0.0,0.0,-5.8316403781364
28,0.0,0.8,0.017530295355708856,0.017530295355708856,0.15701654515331076,0.0,0.0,0.0,0.0,-5.895138757772203
29,0.0,0.8,0.017530295355708856,0.017530295355708856,0.1513313117511072,0.0,0.0,0.0,0.0,-5.956933491546998
30,0.0,0.8,0.017530295355708856,0.017530295355708856,0.14542398832634149,0.0,0.0,0.0,0.0,-6.016899688617269
31,0.0,0.8,0.017530295355708856,0.017530295355708856,0.13926631626193398,0.0,0.0,0.0,0.0,-6.074936647808812
32,0.0,0.8,0.00876516190539224,0.00876516190539224,0.1328234817703486,0.0,0.0,0.0,0.0,-10.147422208410742
33,0.0,0.8,0.00876516190539224,0.00876516190539224,0.12948189494697282,0.0,0.0,0.0,0.0,-10.17518285636964
34,0.0,0.8,0.00876516190539224,0.00876516190539224,0.12605175496009444,0.0,0.0,0.0,0.0,-6.202427951041595
35,0.0,0.8,0.00876516190539224,0.00876516190539224,0.12252562482183255,0.0,0.0,0.0,0.0,-6.229152682872987
36,0.0,0.8,0.00876516190539224,0.00876516190539224,0.11889496434854274,0.0,0.0,0.0,0.0,-6.255353503759306
37,0.0,0.8,0.00876516190539224,0.00876516190539224,0.1151498864823671,0.0,0.0,0.0,0.0,-6.281028068519159
38,0.0,0.8,0.00876516190539224,0.00876516190539224,0.1112788397062209,0.0,0.0,0.0,0.0,-6.306175173376942
39,0.0,0.8,0.00876516190539224,0.00876516190539224,0.10726818715641459,0.0,0.0,0.0,0.0,-6.330794692223346
40,0.0,0.8,0.00876516190539224,0.00876516190539224,0.10310163813094517,0.0,0.0,0.0,0.0,-6.354887511374436
41,0.0,0.8,0.00876516190539224,0.00876516190539224,0.09875946331742162,0.0,0.0,0.0,0.0,-6.37845546349593
42,0.0,0.8,0.00876516190539224,0.00876516190539224,0.0942173837686333,0.0,0.0,0.0,0.0,-6.4015012613018385
43,0.0,0.8,0.00876516190539224,0.00876516190539224,0.08944495074439197,0.0,0.0,0.0,0.0,-6.424028431576674
44,0.0,0.8,0.00876516190539224,0.00876516190539224,0.08440309842137009,0.0,0.0,0.0,0.0,-6.446041250009922
45,0.0,0.8,0.00876516190539224,0.00876516190539224,0.07904028613680662,0.0,0.0,0.0,0.0,-6.467544677271073
46,0.0,0.8,0.00876516190539224,0.00876516190539224,0.07328608764321537,0.0,0.0,0.0,0.0,-6.488544296694677
47,0.0,0.8,0.00876516190539224,0.00876516190539224,0.06703979751990473,0.0,0.0,0.0,0.0,-6.509046253888058
48,0.0,0.8,0.00876516190539224,0.00876516190539224,0.06014830222849689,0.0,0.0,0.0,0.0,-6.529057198520448
49,0.0,0.8,0.00876516190539224,0.00876516190539224,0.05235744522445097,0.0,0.0,0.0,0.0,-6.548584228501767
50,0.0,0.8,0.00876516190539224,0.00876516190539224,0.04318316662650115,0.0,0.0,0.0,0.0,-6.567634836712321
