step,x,y,velocity,reward,done,progress,corner_phase,turn_sign
0,0.0,0.0,0.0,0.0,False,0.0,unknown,0
1,2e-05,0.0,0.02,-0.05999,False,5.000000000000007e-07,False,1
2,7.999999999997e-05,6.000000000837668e-11,0.06,-0.10997200000000001,False,1.999999999999253e-06,False,1
3,0.00019999999999943002,4.200000000048661e-10,0.12,-0.10995800000000028,False,4.999999999985757e-06,False,1
4,0.00039999999999583,1.6199999999877641e-09,0.2,-0.10997200000000183,False,9.999999999895765e-06,False,1
5,0.0006999999999808301,4.619999999957418e-09,0.30000000000000004,-0.1100500000000077,False,1.7499999999520778e-05,False,1
6,0.0011199999999335802,1.0919999999669182e-08,0.42000000000000004,-0.1102400000000247,False,2.7999999998339544e-05,False,1
7,0.0016799999998101003,2.267999999870778e-08,0.56,-0.11060200000006631,False,4.199999999525256e-05,False,1
8,0.0023999999995278605,4.283999999601376e-08,0.7200000000000001,-0.11120800000015743,False,5.999999998819659e-05,False,1
9,0.003299999998944661,7.523999998914769e-08,0.9000000000000001,-0.11214200000034193,False,8.249999997361664e-05,False,1
10,0.004399999997830912,1.2473999997252147e-07,1.1,-0.11350000000069518,False,0.00010999999994577293,False,1
11,0.005719999995976972,1.9469999993958206e-07,1.32,-0.11495800000126394,False,0.00014299999989942448,False,1
12,0.007279999993168972,2.882999998833425e-07,1.56,-0.11642000000214282,False,0.00018199999982922456,False,1
13,0.009099999989205012,4.084199997959524e-07,1.82,-0.11780200000346472,False,0.00022749999973012563,False,1
14,0.011199999983911963,5.575199996710076e-07,2.1,-0.11903200000540945,False,0.0002799999995977994,False,1
15,0.013599999977161962,7.375199995018381e-07,2.4,-0.12005000000820999,False,0.00033999999942904957,False,1
16,0.016319999968887722,9.49679999286165e-07,2.7199999999999998,-0.12080800001215394,False,0.0004079999992221935,False,1
17,0.01937999995909572,1.1944799990252898e-06,3.0599999999999996,-0.12127000001757851,False,0.00048449999897739364,False,1
18,0.02279999994787641,1.47149999872312e-06,3.4199999999999995,-0.12141200002485689,False,0.0005699999986969109,False,1
19,0.026599999935410512,1.779299998387376e-06,3.7999999999999994,-0.12122200003437436,False,0.0006649999983852637,False,1
20,0.030799999921970512,2.115299998029312e-06,4.199999999999999,-0.12070000004649328,False,0.0007699999980492638,False,1
21,0.03541999990791647,2.475659997662985e-06,4.619999999999999,-0.11985800006150607,False,0.0008854999976979129,False,1
22,0.04047999989368522,2.855159997306319e-06,5.06,-0.11872000007957731,False,0.0010119999973421318,False,1
23,0.04599999987977206,3.2470799969778924e-06,5.52,-0.11732200010067684,False,0.0011499999969943032,False,1
24,0.05199999986670406,3.6430799966897933e-06,6.0,-0.11571200012450762,False,0.0012999999966676033,False,1
25,0.058499999855004065,4.033079996455462e-06,6.5,-0.1139500001504343,False,0.0014624999963751037,False,1
26,0.06551999984514448,4.405139996280283e-06,7.02,-0.11210800017742098,False,0.0016379999961286143,False,1
27,0.07307999983748997,4.745339996166016e-06,7.56,-0.1102700002039895,False,0.0018269999959372517,False,1
28,0.08119999983222821,5.037659996104068e-06,8.12,-0.10853200022821327,False,0.0020299999958057076,False,1
29,0.08989999982928762,5.263859996079292e-06,8.7,-0.10700200024776559,False,0.0022474999957321938,False,1
30,0.09919999982823684,5.403662047988622e-06,9.299999999999999,-0.10260682432193854,False,0.002479999995705924,False,1
31,0.10911999982810959,5.4539064254111925e-06,9.919999999999998,-0.1050913078514204,False,0.002727999995702744,False,1
32,0.11967999982802917,5.412695350650345e-06,10.559999999999999,-0.10475046027041485,False,0.002991999995700733,False,1
33,0.1308999998272387,5.2795129947432955e-06,11.219999999999999,-0.10467179809333534,False,0.0032724999956809725,False,1
34,0.1427999998251273,5.055345477448704e-06,11.899999999999999,-0.1047597110652592,False,0.003569999995628188,False,1
35,0.15539999982125097,4.7428008672537935e-06,12.599999999999998,-0.10493058893181899,False,0.00388499999553128,False,1
36,0.16871999981534747,4.346229181367201e-06,13.319999999999999,-0.10511282143914129,False,0.004217999995383693,False,1
37,0.18277999980734452,3.87184238571081e-06,14.059999999999999,-0.10524679833374401,False,0.004569499995183619,False,1
38,0.19759999979735987,3.327834394930302e-06,14.819999999999999,-0.1052849093623934,False,0.004939999994934003,False,1
39,0.21319999978569285,2.7245010723890422e-06,15.599999999999998,-0.10519154427192479,False,0.005329999994642329,False,1
40,0.22959999977147308,2.0415602301908518e-06,16.4,-0.10526823468283913,False,0.005739999994286835,False,1
41,0.24681999975356173,1.2561516291781184e-06,17.22,-0.10555059085324668,False,0.006170499993839052,False,1
42,0.264879999730462,3.427169789142412e-07,18.06,-0.10608622304304874,False,0.00662199999326156,False,1
43,0.2837999997020919,-6.933936994874078e-07,18.919999999999998,-0.08715927406679301,False,0.007094999992552308,False,1
44,0.3035999996688484,-1.8407574629832116e-06,19.799999999999997,-0.10681586377116022,False,0.00758999999172122,False,1
45,0.3242999996314235,-3.0855024651721555e-06,20.699999999999996,-0.1068818613946288,False,0.008107499990785598,False,1
46,0.3459199995906436,-4.413403485405383e-06,21.619999999999997,-0.09701231499585264,False,0.0086479999897661,False,1
47,0.3684799995466721,-5.821947171946543e-06,22.56,-0.06021561058585733,False,0.009211999988666815,False,1
48,0.3919999995002526,-7.299638944855259e-06,23.52,-0.07559293697073184,False,0.009799999987506329,False,1
49,0.4164999994522618,-8.833115218125136e-06,24.5,-0.07528854459162546,False,0.01041249998630656,False,1
50,0.4419999994036778,-1.0407212831387643e-05,25.5,-0.07442648010327646,False,0.01104999998509196,False,1
51,0.46851999935554156,-1.2005069062215788e-05,26.52,-0.07302117788479605,False,0.011712999983888556,False,1
52,0.49607999930891244,-1.3608252232958408e-05,27.56,-0.07110833082058282,False,0.012401999982722829,False,1
53,0.5246999992648196,-1.5196922477345587e-05,28.619999999999997,-0.06874346733733287,False,0.013117499981620508,False,1
54,0.5543999992242116,-1.67500217743276e-05,29.699999999999996,-0.06599973766057297,False,0.013859999980605308,False,1
55,0.5851999991879059,-1.8245491895770798e-05,30.799999999999997,-0.06296499754572797,False,0.014629999979697668,False,1
56,0.6171199991565415,-1.966051845714654e-05,31.919999999999998,-0.05973830574608752,False,0.015427999978913559,False,1
57,0.6501799991305364,-2.097179881308364e-05,33.059999999999995,-0.0564259748527392,False,0.01625449997826343,False,1
58,0.6843999991100522,-2.2155831108775294e-05,34.21999999999999,-0.05313733294685455,False,0.01710999997775133,False,1
