step,s_now,dist_to_turn,turn_angle,corner_phase,corner_mode,v_ratio_cmd,v_ratio_cap_brake,v_ratio_cap_ang,v_ratio_cap,v_ratio_exec,speed_util,e_n,omega_exec,dkappa_exec,stall_triggered,progress
1,0.049999999999999996,9.95,1.5707963267948966,0,0,0.03599977261831811,0.3162628758435142,1.0,0.03999974735368679,0.005,0.12500078639967616,0.0,0.0,0.0,0,0.0016666666666666633
2,0.2,9.8,1.5707963267948966,0,0,0.03599977261831811,0.31547140383370736,1.0,0.03999974735368679,0.015,0.3750023591990284,0.0,0.0,0.0,0,0.006666666666666654
3,0.5,9.5,1.5707963267948966,0,0,0.03599977261831811,0.31308498309055016,1.0,0.03999974735368679,0.03,0.7500047183980568,0.0,0.0,0.0,0,0.016666666666666635
4,0.8999974735368679,9.100002526463133,1.5707963267948966,0,0,0.03599977261831811,0.3082567219653289,1.0,0.03999974735368679,0.03999974735368679,0.9999999749998427,0.0,0.0,0.0,0,0.029999915784562205
5,1.2999949470737358,8.700005052926265,1.5707963267948966,0,0,0.03599977261831811,0.3016989093474509,1.0,0.03999974735368679,0.03999974735368679,0.9999999749998427,0.0,0.0,0.0,0,0.043333164902457776
6,1.6999924206106036,8.300007579389396,1.5707963267948966,0,0,0.03599977261831811,0.2949953510923058,1.0,0.03999974735368679,0.03999974735368679,0.9999999749998427,0.0,0.0,0.0,0,0.05666641402035335
7,2.0599901467937847,7.940009853206215,1.5707963267948966,0,0,0.03599977261831811,0.2881358749456652,1.0,0.03999974735368679,0.03599977261831811,0.8999999774998585,0.0,0.0,0.0,0,0.06866633822645936
8,2.4199878729769657,7.580012127023034,1.5707963267948966,0,0,0.03599977261831811,0.2818196323340023,1.0,0.03999974735368679,0.03599977261831811,0.8999999774998585,0.0,0.0,0.0,0,0.08066626243256537
9,2.7799855991601468,7.220014400839853,1.5707963267948966,0,0,0.03599977261831811,0.27535854427825635,1.0,0.03999974735368679,0.03599977261831811,0.8999999774998585,0.0,0.0,0.0,0,0.09266618663867138
10,3.139983325343328,6.860016674656672,1.5707963267948966,0,0,0.03599977261831811,0.26874216387684424,1.0,0.03999974735368679,0.03599977261831811,0.8999999774998585,0.0,0.0,0.0,0,0.1046661108447774
11,3.499981051526509,6.500018948473491,1.5707963267948966,0,0,0.03599977261831811,0.2619587245796116,1.0,0.03999974735368679,0.03599977261831811,0.8999999774998585,0.0,0.0,0.0,0,0.11666603505088341
12,3.766646626429156,6.233353373570845,1.5707963267948966,0,0,0.03359979844290213,0.25499489430485667,1.0,0.02666655749026468,0.02666655749026468,0.9999999624998479,0.0,0.0,0.0,0,0.1255548875476383
13,4.033312201331802,5.966687798668198,1.5707963267948966,1,0,0.03167981910256935,0.24971131406590003,1.0,0.02666655749026468,0.02666655749026468,0.9999999624998479,0.0,0.0,0.0,0,0.13444374004439316
14,4.299977776234449,5.700022223765551,1.5707963267948966,1,0,0.030143835630303123,0.24431349660526755,1.0,0.02666655749026468,0.02666655749026468,0.9999999624998479,0.0,0.0,0.0,0,0.14333259254114805
15,4.566643351137096,5.433356648862904,1.5707963267948966,1,0,0.02891504885249014,0.23879369521506555,1.0,0.02666655749026468,0.02666655749026468,0.9999999624998479,0.0,0.0,0.0,0,0.1522214450379029
16,4.833308926039743,5.166691073960257,1.5707963267948966,1,0,0.027932019430239756,0.2331432459357104,1.0,0.02666655749026468,0.02666655749026468,0.9999999624998479,0.0,0.0,0.0,0,0.1611102975346578
17,5.09997450094239,4.90002549905761,1.5707963267948966,1,0,0.02714559589243945,0.2273524078966675,1.0,0.02666655749026468,0.02666655749026468,0.9999999624998479,0.0,0.0,0.0,0,0.1699991500314127
18,5.365139071564382,4.634860928435618,1.5707963267948966,1,0,0.026516457062199204,0.2214101660434457,1.0,0.02666655749026468,0.026516457062199204,0.9943711736135628,0.0,0.0,0.0,0,0.17883796905214572
19,5.6252705315444524,4.3747294684555476,1.5707963267948966,1,0,0.026013145998007005,0.21533883978782437,1.0,0.02666655749026468,0.026013145998007005,0.9754969321408228,0.0,0.0,0.0,0,0.18750901771814807
20,5.881375503010985,4.118624496989015,1.5707963267948966,1,0,0.025610497146653248,0.2092116185142823,1.0,0.02666655749026468,0.025610497146653248,0.9603975389626309,0.0,0.0,0.0,0,0.1960458501003658
21,6.134259283666688,3.8657407163333124,1.5707963267948966,1,0,0.025288378065570244,0.2029986492730931,1.0,0.02666655749026468,0.025288378065570244,0.9483180244200774,0.0,0.0,0.0,0,0.20447530945555586
22,6.384566111673726,3.615433888326274,1.5707963267948966,1,0,0.025030682800703842,0.19667133446474408,1.0,0.02666655749026468,0.025030682800703842,0.9386544127860348,0.0,0.0,0.0,0,0.21281887038912378
23,6.632811377561833,3.3671886224381673,1.5707963267948966,1,0,0.024824526588810715,0.19020132891247854,1.0,0.02666655749026468,0.024824526588810715,0.9309235234788004,0.0,0.0,0.0,0,0.221093712585394
24,6.879407393754795,3.1205926062452054,1.5707963267948966,1,0,0.024659601619296215,0.18355950768399817,1.0,0.02666655749026468,0.024659601619296215,0.9247388120330129,0.0,0.0,0.0,0,0.22931357979182604
25,7.012740484146438,2.9872595158535624,1.5707963267948966,1,0,0.023727681295436974,0.17671483440634564,1.0,0.01333330903916432,0.01333330903916432,0.999999924999869,0.0,0.0,0.0,0,0.23375801613821415
26,7.144424318344599,2.8555756816554014,1.5707963267948966,1,0,0.022982145036349582,0.17290113300769816,1.0,0.01333330903916432,0.013168384069649817,0.9876305306761742,4.1369697972356476e-05,0.031415926535897934,0.0023855273997437075,0,0.23814747727815283
27,7.2777573034606675,2.7222426965393325,1.5707963267948966,1,0,0.022385716029079666,0.16905018028196278,1.0,0.01333330903916432,0.01333330903916432,0.999999924999869,0.00020892095677654867,0.0942477796076938,0.004682538844324718,0,0.24259191011535514
28,7.401125358641828,2.5988746413581723,1.5707963267948966,1,0,0.021908572823263733,0.16505948504161594,1.0,0.01333330903916432,0.012336866398061428,0.925266596353343,0.0005964944076877275,0.1884955592153876,0.008209742181949604,0,0.2467041786213938
29,7.534455817152418,2.465544182847582,1.5707963267948966,1,0,0.021526858258610986,0.1612791153571715,1.0,0.01333330903916432,0.01333330903916432,0.999999924999869,0.0014342454099913068,0.3141592653589793,0.008282412387543386,0,0.25114852723841347
30,7.667780847463027,2.3322191525369727,1.5707963267948966,1,0,0.02122148660688879,0.1570912106557395,1.0,0.01333330903916432,0.01333330903916432,0.999999924999869,0.002900289768524162,0.47123889803846897,0.011780110406780706,0,0.25559269491543374
