L,alpha,corner_phase,dist_to_turn,e_n,exit_timer,progress,reward,seed,step,tag,toggle_count,turn_sign,v_ratio_exec,w_center
,,0,,0.0,,0.0010000000000000005,-3.9754,42,1,line_0,0,0,0.030000000000000006,0.0
,,0,,0.0,,0.004000000000000002,-3.1385999999999985,42,2,line_0,0,0,0.09000000000000002,0.0
,,0,,0.0,,0.010000000000000005,-1.9643999999999993,42,3,line_0,0,0,0.18000000000000005,0.0
,,0,,0.0,,0.020000000000000004,-0.5499999999999993,42,4,line_0,0,0,0.30000000000000004,0.0
,,0,,0.0,,0.03500000000000001,0.9750000000000004,42,5,line_0,0,0,0.45000000000000007,0.0
,,0,,0.0,,0.056000000000000015,2.4486000000000008,42,6,line_0,0,0,0.6300000000000001,0.0
,,0,,0.0,,0.08366666666666668,4.963266666666671,42,7,line_0,0,0,0.8300000000000001,0.0
,,0,,0.0,,0.11700000000000003,4.256666666666668,42,8,line_0,0,0,1.0,0.0
,,0,,0.0,,0.15033333333333335,4.256666666666666,42,9,line_0,0,0,1.0,0.0
,,0,,0.0,,0.18366666666666667,4.256666666666666,42,10,line_0,0,0,1.0,0.0
,,0,,0.0,,0.217,4.256666666666666,42,11,line_0,0,0,1.0,0.0
,,0,,0.0,,0.25033333333333335,4.256666666666668,42,12,line_0,0,0,1.0,0.0
,,0,,0.0,,0.2836666666666667,4.256666666666666,42,13,line_0,0,0,1.0,0.0
,,0,,0.0,,0.317,5.590000000000003,42,14,line_0,0,0,1.0,0.0
,,0,,0.0,,0.35033333333333333,8.256666666666666,42,15,line_0,0,0,1.0,0.0
,,0,,0.0,,0.38366666666666666,8.256666666666666,42,16,line_0,0,0,1.0,0.0
,,0,,0.0,,0.41700000000000004,8.256666666666668,42,17,line_0,0,0,1.0,0.0
,,0,,0.0,,0.4503333333333334,8.256666666666668,42,18,line_0,0,0,1.0,0.0
,,0,,0.0,,0.48366666666666674,8.256666666666666,42,19,line_0,0,0,1.0,0.0
,,0,,0.0,,0.5170000000000001,8.256666666666668,42,20,line_0,0,0,1.0,0.0
,,0,,0.0,,0.5503333333333335,8.256666666666666,42,21,line_0,0,0,1.0,0.0
,,0,,0.0,,0.5836666666666669,8.256666666666668,42,22,line_0,0,0,1.0,0.0
,,0,,0.0,,0.6170000000000002,8.256666666666666,42,23,line_0,0,0,1.0,0.0
,,0,,0.0,,0.6503333333333335,8.256666666666666,42,24,line_0,0,0,1.0,0.0
,,0,,0.0,,0.6836666666666669,8.256666666666666,42,25,line_0,0,0,1.0,0.0
,,0,,0.0,,0.7170000000000002,8.256666666666666,42,26,line_0,0,0,1.0,0.0
,,0,,0.0,,0.7503333333333336,8.256666666666668,42,27,line_0,0,0,1.0,0.0
,,0,,0.0,,0.783666666666667,8.256666666666666,42,28,line_0,0,0,1.0,0.0
,,0,,0.0,,0.8170000000000003,8.290099302484073,42,29,line_0,0,0,1.0,0.0
,,0,,0.0,,0.8503333333333337,8.73534235896679,42,30,line_0,0,0,1.0,0.0
,,0,,0.0,,0.883666666666667,9.898028950496716,42,31,line_0,0,0,1.0,0.0
,,0,,0.0,,0.9170000000000004,13.531822875665277,42,32,line_0,0,0,1.0,0.0
,,0,,0.0,,0.9503333333333338,100.0,42,33,line_0,0,0,1.0,0.0
,,0,,0.0,,0.9836666666666671,100.0,42,34,line_0,0,0,1.0,0.0
,,0,,0.0,,1.0,100.0,42,35,line_0,0,0,1.0,0.0
1.5,0.0,0,2.877,0.0,-1,0.0003333333333333331,-3.6287333333333325,1042,1,square_0,0,1,0.030000000000000006,0.0
1.5,0.0,0,2.868,0.0,-1,0.0013333333333333324,-2.8185999999999987,1042,2,square_0,0,1,0.09000000000000002,0.0
1.5,0.0,0,2.85,0.0,-1,0.0033333333333333314,-1.6843999999999995,1042,3,square_0,0,1,0.18000000000000005,0.0
1.5,0.0,0,2.82,0.0,-1,0.006666666666666663,-0.3233333333333329,1042,4,square_0,0,1,0.30000000000000004,0.0
1.5,0.0,0,2.775,0.0,-1,0.011666666666666659,1.1350000000000005,1042,5,square_0,0,1,0.45000000000000007,0.0
1.5,0.0,0,2.7119999999999997,0.0,-1,0.018666666666666658,2.5286000000000004,1042,6,square_0,0,1,0.6300000000000001,0.0
1.5000000290475544,-0.0037967995723717785,0,2.630000531359426,0.0002951993623684133,-1,0.027777718737841524,2.227959906605811,1042,7,square_0,0,1,0.82,0.0
1.5000005375790015,-0.010793079379142867,0,2.532005378986452,0.001269935940918987,-1,0.038666069001505314,2.3886434449440266,1042,8,square_0,0,1,0.9799999999999998,0.0
1.500003252052708,-0.020618889775401605,0,2.4320225587128674,0.003123486625458076,-1,0.04977527125412578,2.5724065679714387,1042,9,square_0,0,1,1.0,0.0
1.500012196889371,-0.03329232004351468,0,2.3320653620216754,0.006049034375588978,-1,0.06088162644203603,2.7816149155041003,1042,10,square_0,0,1,1.0,0.0
1.5000349483872646,-0.04874264801339434,0,2.232153198609461,0.010239452289237443,-1,0.07198297793228202,2.3914731875929034,1042,11,square_0,0,1,1.0,0.0
1.5000838926957836,-0.06685705321302704,0,2.1323115346718273,0.01586458714669777,-1,0.08307649614757465,2.00413498463689,1042,12,square_0,0,1,1.0,0.0
1.5001833307905859,-0.09158727775744957,0,2.0325998424575435,0.02345263272931884,-1,0.09415557306027283,-2.3466113098143158,1042,13,square_0,0,1,1.0,0.0
1.5003754274088756,-0.12571407365120235,0,1.9351226857682924,0.03356222835818366,-1,0.10498636824796742,-1.436743298845688,1042,14,square_0,0,1,0.9799999999999998,0.0
1.5007071696672394,-0.16555016018404434,0,1.8429669808321025,0.04606526989670144,-1,0.11522589101865517,-3.395347954676873,1042,15,square_0,0,1,0.9299999999999996,0.0
