step,time,x,y,v,a,j,contour_error,progress,v_over_vmax,abs_j_over_jmax,active_accdec_window,s_smoothed,v_cap
1,0.001,-39.42333688756757,13.53506890155195,0.015625,15.625,15625.0,1.7763568394002505e-15,6.759549202207577e-08,0.00015625,0.25,True,1.5625e-05,18.0
2,0.002,-39.42329462193492,13.535089171774496,0.046875,31.25,15625.0,1.7763568394002505e-15,2.703819681437355e-07,0.00046875,0.25,True,6.25e-05,18.0
3,0.003,-39.423210090669635,13.53512971221959,0.09375,46.875,15625.0,0.0,6.759549203349458e-07,0.0009375,0.25,True,0.00015625,18.0
4,0.004,-39.42306920522748,13.535197279628077,0.15625,62.5,15625.0,1.7763568394002505e-15,1.351909840697608e-06,0.0015625,0.25,True,0.0003125,18.0
5,0.005,-39.42285787706425,13.535298630740808,0.234375,78.125,15625.0,0.0,2.365842221198365e-06,0.00234375,0.25,True,0.000546875,18.0
6,0.006,-39.422562017635734,13.535440522298632,0.328125,93.75,15625.0,0.0,3.785347553918048e-06,0.00328125,0.25,True,0.0008750000000000001,18.0
7,0.007,-39.42216753839771,13.535629711042397,0.4375,109.375,15625.0,1.7763568394002505e-15,5.678021330875412e-06,0.004375,0.25,True,0.0013125,18.0
8,0.008,-39.421660350805965,13.535872953712953,0.5625,125.0,15625.0,0.0,8.111459044099174e-06,0.005625,0.25,True,0.0018750000000000001,18.0
9,0.009000000000000001,-39.42102636631628,13.536177007051148,0.703125,140.625,15625.0,1.7763568394002505e-15,1.1153256185632486e-05,0.00703125,0.25,True,0.002578125,18.0
10,0.01,-39.420251496384445,13.53654862779783,0.859375,156.25,15625.0,0.0,1.487100824752846e-05,0.00859375,0.25,True,0.0034375,18.0
11,0.011,-39.419321652466245,13.536994572693846,1.03125,171.875,15625.0,1.7763568394002505e-15,1.9332310721778128e-05,0.0103125,0.25,True,0.0044687500000000005,18.0
12,0.012,-39.41822274601746,13.53752159848005,1.21875,187.5,15625.0,0.0,2.460475910043794e-05,0.0121875,0.25,True,0.005687500000000001,18.0
13,0.013000000000000001,-39.41694068849388,13.538136461897286,1.421875,203.125,15625.0,1.7763568394002505e-15,3.075594887555435e-05,0.01421875,0.25,True,0.007109375000000001,18.0
14,0.014,-39.41546139135129,13.538845919686407,1.640625,218.75,15625.0,1.7763568394002505e-15,3.7853475539125044e-05,0.01640625,0.25,True,0.00875,18.0
15,0.015,-39.413770766045474,13.539656728588257,1.875,234.375,15625.0,0.0,4.5964934583220894e-05,0.01875,0.25,True,0.010625,18.0
16,0.016,-39.41185472403221,13.540575645343688,2.125,250.0,15625.0,0.0,5.515792149987063e-05,0.02125,0.25,True,0.012750000000000001,18.0
17,0.017,-39.40969917676729,13.54160942669355,2.390625,265.625,15625.0,1.7763568394002505e-15,6.55000317810963e-05,0.02390625,0.25,True,0.015140625000000001,18.0
18,0.018000000000000002,-39.407290035706495,13.542764829378687,2.671875,281.25,15625.0,0.0,7.705886091894439e-05,0.02671875,0.25,True,0.017812500000000002,18.0
19,0.019,-39.40461321230561,13.544048610139951,2.96875,296.875,15625.0,0.0,8.99020044054403e-05,0.0296875,0.25,True,0.02078125,18.0
20,0.02,-39.40165461802043,13.545467525718191,3.28125,312.5,15625.0,1.7763568394002505e-15,0.0001040970577326061,0.0328125,0.25,True,0.0240625,18.0
21,0.021,-39.39840016430672,13.547028332854254,3.609375,328.125,15625.0,0.0,0.00011971161639251595,0.03609375,0.25,True,0.027671875000000002,18.0
22,0.022,-39.39483576262029,13.548737788288989,3.953125,343.75,15625.0,0.0,0.00013681327587713988,0.03953125,0.25,True,0.031625,18.0
23,0.023,-39.3909473244169,13.550602648763247,4.3125,359.375,15625.0,0.0,0.00015546963167858638,0.043125,0.25,True,0.0359375,18.0
24,0.024,-39.38672076115235,13.552629671017876,4.6875,375.0,15625.0,0.0,0.00017574827928884654,0.046875,0.25,True,0.040624999999999994,18.0
25,0.025,-39.38214198428242,13.55482561179372,5.078125,390.625,15625.0,1.7763568394002505e-15,0.000197716814199939,0.05078125,0.25,True,0.045703125,18.0
26,0.026000000000000002,-39.3771969052629,13.557197227831635,5.484375,406.25,15625.0,0.0,0.00022144283190392042,0.05484375,0.25,True,0.0511875,18.0
27,0.027,-39.371871435549565,13.559751275872467,5.90625,421.875,15625.0,0.0,0.0002469939278928403,0.0590625,0.25,True,0.05709375,18.0
28,0.028,-39.366151486598206,13.562494512657063,6.34375,437.5,15625.0,0.0,0.00027443769765871757,0.0634375,0.25,True,0.0634375,18.0
29,0.029,-39.36002296986461,13.565433694926273,6.796875,453.125,15625.0,0.0,0.00030384173669357773,0.06796875,0.25,True,0.07023437499999999,18.0
30,0.03,-39.353471796804556,13.568575579420946,7.265625,468.75,15625.0,0.0,0.000335273640489467,0.07265625,0.25,True,0.07749999999999999,18.0
31,0.031,-39.34648387887383,13.57192692288193,7.75,484.375,15625.0,0.0,0.0003688010045384109,0.0775,0.25,True,0.08524999999999999,18.0
32,0.032,-39.33904512752822,13.575494482050075,8.25,500.0,15625.0,0.0,0.00040449142433245924,0.0825,0.25,True,0.0935,18.0
33,0.033,-39.33114145422352,13.579285013666228,8.765625,515.625,15625.0,0.0,0.000442412495363603,0.08765625,0.25,True,0.102265625,18.0
34,0.034,-39.32275877041549,13.58330527447124,9.296875,531.25,15625.0,1.7763568394002505e-15,0.00048263181312395415,0.09296875,0.25,True,0.1115625,18.0
35,0.035,-39.313882987559936,13.587562021205958,9.84375,546.875,15625.0,0.0,0.0005252169731054761,0.0984375,0.25,True,0.12140625,18.0
36,0.036000000000000004,-39.30450001711264,13.592062010611231,10.40625,562.5,15625.0,0.0,0.0005702355708002182,0.1040625,0.25,True,0.1318125,18.0
37,0.037,-39.29459577052938,13.596811999427908,10.984375,578.125,15625.0,0.0,0.0006177552017002306,0.10984375,0.25,True,0.142796875,18.0
38,0.038,-39.28415615926593,13.601818744396839,11.578125,593.75,15625.0,0.0,0.0006678434612975663,0.11578125,0.25,True,0.15437499999999998,18.0
39,0.039,-39.2731670947781,13.60708900225887,12.1875,609.375,15625.0,1.7763568394002505e-15,0.0007205679450842167,0.121875,0.25,True,0.16656249999999997,18.0
40,0.04,-39.261614488521666,13.612629529754853,12.8125,625.0,15625.0,0.0,0.0007759962485522344,0.128125,0.25,True,0.17937499999999998,18.0
41,0.041,-39.24948425195241,13.618447083625634,13.453125,640.625,15625.0,0.0,0.0008341959671936383,0.13453125,0.25,True,0.192828125,18.0
42,0.042,-39.236762296526116,13.624548420612063,14.109375,656.25,15625.0,0.0,0.0008952346965004815,0.14109375,0.25,True,0.2069375,18.0
43,0.043000000000000003,-39.223434533698565,13.63094029745499,14.78125,671.875,15625.0,0.0,0.0009591800319648142,0.1478125,0.25,True,0.22171875,18.0
44,0.044,-39.20948687492555,13.637629470895261,15.46875,687.5,15625.0,1.7763568394002505e-15,0.00102609956907863,0.1546875,0.25,True,0.2371875,18.0
45,0.045,-39.1949080493717,13.644621346325557,16.16875,700.0,12500.0,1.7763568394002505e-15,0.0010960473842355867,0.16168749999999998,0.2,True,0.25335625,18.0
46,0.046,-39.179698057037,13.651915923745877,16.86875,700.0,0.0,0.0,0.0011690234774356808,0.1686875,0.0,True,0.270225,18.0
47,0.047,-39.16385689792147,13.659513203156221,17.568749999999998,700.0,0.0,0.0,0.0012450278486788875,0.17568749999999997,0.0,True,0.28779375,18.0
