step,time,x,y,v,a,j,contour_error,progress,v_over_vmax,abs_j_over_jmax,active_accdec_window,s_smoothed,v_cap
1,0.001,49.99999994881408,1.5624916159825607e-05,0.015625,15.625,15625.0,3.730333099707939e-18,4.97360086736082e-08,0.00015625,0.25,True,1.5625e-05,18.0
2,0.002,49.99999979525632,6.249966463930243e-05,0.046875,31.25,15625.0,8.361909255294453e-18,1.9894403469435868e-07,0.00046875,0.25,True,6.25e-05,18.0
3,0.003,49.9999994881408,0.00015624916159825606,0.09375,46.875,15625.0,9.242823520438925e-18,4.973600867359337e-07,0.0009375,0.25,True,0.00015625,18.0
4,0.004,49.999998976281596,0.0003124983231965121,0.15625,62.5,15625.0,4.824699667560495e-18,9.947201734719416e-07,0.0015625,0.25,True,0.0003125,18.0
5,0.005,49.9999982084928,0.0005468720655938962,0.234375,78.125,15625.0,9.107298248878237e-18,1.740760303575842e-06,0.00234375,0.25,True,0.000546875,18.0
6,0.006,49.99999713358847,0.000874995304950234,0.328125,93.75,15625.0,5.421010862427522e-19,2.7852164857213917e-06,0.00328125,0.25,True,0.0008750000000000001,18.0
7,0.007,49.999995700382705,0.001312492957425351,0.4375,109.375,15625.0,1.0842021724855044e-17,4.177824728582125e-06,0.004375,0.25,True,0.0013125,18.0
8,0.008,49.99999385768958,0.001874989939179073,0.5625,125.0,15625.0,5.204170427930421e-18,5.968321040831575e-06,0.005625,0.25,True,0.0018750000000000001,18.0
9,0.009000000000000001,49.999991554323174,0.002578111166371225,0.703125,140.625,15625.0,9.974659986866641e-18,8.206441431143425e-06,0.00703125,0.25,True,0.002578125,18.0
10,0.01,49.99998873909757,0.003437481555161633,0.859375,156.25,15625.0,5.637851296924623e-18,1.0941921908191205e-05,0.00859375,0.25,True,0.0034375,18.0
11,0.011,49.99998536082684,0.004468726021710123,1.03125,171.875,15625.0,4.336808689942018e-18,1.4224498480648533e-05,0.0103125,0.25,True,0.0044687500000000005,18.0
12,0.012,49.99998136832507,0.005687469482176521,1.21875,187.5,15625.0,7.806255641895632e-18,1.8103907157189085e-05,0.0121875,0.25,True,0.005687500000000001,18.0
13,0.013000000000000001,49.99997671040634,0.007109336852720652,1.421875,203.125,15625.0,3.469446951953614e-18,2.2629883946486316e-05,0.01421875,0.25,True,0.007109375000000001,18.0
14,0.014,49.99997133588472,0.00874995304950234,1.640625,218.75,15625.0,5.204170427930421e-18,2.785216485721392e-05,0.01640625,0.25,True,0.00875,18.0
15,0.015,49.999965193574305,0.010624942988681413,1.875,234.375,15625.0,1.734723475976807e-18,3.382048589804549e-05,0.01875,0.25,True,0.010625,18.0
16,0.016,49.99995823228917,0.012749931586417695,2.125,250.0,15625.0,8.673617379884035e-18,4.058458307765457e-05,0.02125,0.25,True,0.012750000000000001,18.0
17,0.017,49.99995040084338,0.015140543758871012,2.390625,265.625,15625.0,8.673617379884035e-18,4.8194192404714854e-05,0.02390625,0.25,True,0.015140625000000001,18.0
18,0.018000000000000002,49.99994164805104,0.01781240442220119,2.671875,281.25,15625.0,6.938893903907228e-18,5.669904988789977e-05,0.02671875,0.25,True,0.017812500000000002,18.0
19,0.019,49.99993192272621,0.020781138492568053,2.96875,296.875,15625.0,6.938893903907228e-18,6.614889153588311e-05,0.0296875,0.25,True,0.02078125,18.0
20,0.02,49.999921173682985,0.02406237088613143,3.28125,312.5,15625.0,6.938893903907228e-18,7.65934533573383e-05,0.0328125,0.25,True,0.0240625,18.0
21,0.021,49.99990934973543,0.027671726519051146,3.609375,328.125,15625.0,1.0408340855860843e-17,8.808247136093904e-05,0.03609375,0.25,True,0.027671875000000002,18.0
22,0.022,49.99989639969763,0.03162483030748702,3.953125,343.75,15625.0,6.938893903907228e-18,0.00010066568155535896,0.03953125,0.25,True,0.031625,18.0
23,0.023,49.99988227238368,0.03593730716759889,4.3125,359.375,15625.0,1.3877787807814457e-17,0.00011439281994927146,0.043125,0.25,True,0.0359375,18.0
24,0.024,49.99986691660764,0.04062478201554656,4.6875,375.0,15625.0,6.938893903907228e-18,0.00012931362255135036,0.046875,0.25,True,0.040624999999999994,18.0
25,0.025,49.99985028118359,0.045702879767489886,5.078125,390.625,15625.0,0.0,0.00014547782537026918,0.05078125,0.25,True,0.045703125,18.0
26,0.026000000000000002,49.99983231492562,0.05118722533958868,5.484375,406.25,15625.0,6.938893903907228e-18,0.00016293516441470148,0.05484375,0.25,True,0.0511875,18.0
