step,time,x,y,v,a,j,contour_error,progress,v_over_vmax,abs_j_over_jmax,active_accdec_window,s_smoothed,v_cap
1,0.001,20.000015625,0.0,0.015625,15.625,15625.0,0.0,3.906249999907721e-08,0.00015625,0.25,True,1.5625e-05,18.0
2,0.002,20.0000625,0.0,0.046875,31.25,15625.0,0.0,1.5624999999630883e-07,0.00046875,0.25,True,6.25e-05,18.0
3,0.003,20.00015625,0.0,0.09375,46.875,15625.0,0.0,3.9062499999965385e-07,0.0009375,0.25,True,0.00015625,18.0
4,0.004,20.0003125,0.0,0.15625,62.5,15625.0,0.0,7.812499999993077e-07,0.0015625,0.25,True,0.0003125,18.0
5,0.005,20.000546875,0.0,0.234375,78.125,15625.0,0.0,1.367187500003229e-06,0.00234375,0.25,True,0.000546875,18.0
6,0.006,20.000875,0.0,0.328125,93.75,15625.0,0.0,2.187500000001614e-06,0.00328125,0.25,True,0.0008750000000000001,18.0
7,0.007,20.0013125,0.0,0.4375,109.375,15625.0,0.0,3.2812500000024214e-06,0.004375,0.25,True,0.0013125,18.0
8,0.008,20.001875,0.0,0.5625,125.0,15625.0,0.0,4.687499999995846e-06,0.005625,0.25,True,0.0018750000000000001,18.0
9,0.009000000000000001,20.002578125,0.0,0.703125,140.625,15625.0,0.0,6.445312499998729e-06,0.00703125,0.25,True,0.002578125,18.0
10,0.01,20.0034375,0.0,0.859375,156.25,15625.0,0.0,8.593750000001266e-06,0.00859375,0.25,True,0.0034375,18.0
11,0.011,20.00446875,0.0,1.03125,171.875,15625.0,0.0,1.1171875000002535e-05,0.0103125,0.25,True,0.0044687500000000005,18.0
12,0.012,20.0056875,0.0,1.21875,187.5,15625.0,0.0,1.4218750000001608e-05,0.0121875,0.25,True,0.005687500000000001,18.0
13,0.013000000000000001,20.007109375,0.0,1.421875,203.125,15625.0,0.0,1.777343749999757e-05,0.01421875,0.25,True,0.007109375000000001,18.0
14,0.014,20.00875,0.0,1.640625,218.75,15625.0,0.0,2.1874999999998373e-05,0.01640625,0.25,True,0.00875,18.0
15,0.015,20.010625,0.0,1.875,234.375,15625.0,0.0,2.6562500000003105e-05,0.01875,0.25,True,0.010625,18.0
16,0.016,20.01275,0.0,2.125,250.0,15625.0,0.0,3.187500000000195e-05,0.02125,0.25,True,0.012750000000000001,18.0
17,0.017,20.015140625,0.0,2.390625,265.625,15625.0,0.0,3.785156250000287e-05,0.02390625,0.25,True,0.015140625000000001,18.0
18,0.018000000000000002,20.0178125,0.0,2.671875,281.25,15625.0,0.0,4.453125000000495e-05,0.02671875,0.25,True,0.017812500000000002,18.0
19,0.019,20.02078125,0.0,2.96875,296.875,15625.0,0.0,5.195312499999836e-05,0.0296875,0.25,True,0.02078125,18.0
20,0.02,20.0240625,0.0,3.28125,312.5,15625.0,0.0,6.015624999999999e-05,0.0328125,0.25,True,0.0240625,18.0
21,0.021,20.027671875,0.0,3.609375,328.125,15625.0,0.0,6.917968749999997e-05,0.03609375,0.25,True,0.027671875000000002,18.0
22,0.022,20.031625,0.0,3.953125,343.75,15625.0,0.0,7.906249999999744e-05,0.03953125,0.25,True,0.031625,18.0
23,0.023,20.0359375,0.0,4.3125,359.375,15625.0,0.0,8.984375000000032e-05,0.043125,0.25,True,0.0359375,18.0
24,0.024,20.040625,0.0,4.6875,375.0,15625.0,0.0,0.00010156249999999882,0.046875,0.25,True,0.040624999999999994,18.0
25,0.025,20.045703125,0.0,5.078125,390.625,15625.0,0.0,0.00011425781250000087,0.05078125,0.25,True,0.045703125,18.0
26,0.026000000000000002,20.0511875,0.0,5.484375,406.25,15625.0,0.0,0.0001279687500000056,0.05484375,0.25,True,0.0511875,18.0
27,0.027,20.05709375,0.0,5.90625,421.875,15625.0,0.0,0.00014273437500000316,0.0590625,0.25,True,0.05709375,18.0
28,0.028,20.0634375,0.0,6.34375,437.5,15625.0,0.0,0.00015859375000000156,0.0634375,0.25,True,0.0634375,18.0
29,0.029,20.070234375,0.0,6.796875,453.125,15625.0,0.0,0.0001755859374999998,0.06796875,0.25,True,0.07023437499999999,18.0
30,0.03,20.0775,0.0,7.265625,468.75,15625.0,0.0,0.0001937500000000059,0.07265625,0.25,True,0.07749999999999999,18.0
31,0.031,20.08525,0.0,7.75,484.375,15625.0,0.0,0.0002131250000000012,0.0775,0.25,True,0.08524999999999999,18.0
32,0.032,20.0935,0.0,8.25,500.0,15625.0,0.0,0.00023375000000000246,0.0825,0.25,True,0.0935,18.0
