episode_idx,rmse_error,mean_jerk,roughness_proxy,mean_velocity,max_error,mean_kcm_intervention,steps,progress
0,0.02033318430021005,19895.56135770235,200000.0,34.58193779247297,0.05524627347036801,0.892259111115711,1149,1.0
1,0.022532018831507187,19986.017503558356,29531.032484748834,37.62457051917862,0.055197784285656845,0.9067629568810421,1056,1.0
2,0.021786192370450683,19963.898916967508,40000.0,35.84386510734982,0.0550456359728031,0.9625641575995111,1108,1.0
3,0.02568920443704373,19947.432644033302,106606.59790046338,39.200147431403224,0.06140004135126098,0.9590295818657273,1014,1.0
4,0.02680142425477476,20000.0,0.0,39.69977734162203,0.0615613229636125,0.9598362423790711,1001,1.0
5,0.024477596879424197,20000.0,0.0,39.35168219658892,0.0623125235377433,0.9684826404036293,1010,1.0
6,0.021869607055122205,19979.674796747968,39999.99999999988,40.37444688630317,0.05712488969902729,0.9450687593811354,984,1.0
7,0.02369376208865311,19979.12317327766,40000.0,41.489176956602904,0.062422496090430706,0.9857545304644731,958,1.0
8,0.025091767159900205,19974.58876162218,28128.885487588264,41.94773924374492,0.062357690869895066,0.9437040536039193,947,1.0
9,0.02423430745309096,19978.142076502732,40000.0,43.42381846193045,0.05991750843916499,0.95230552651239,915,1.0
10,0.026986016613865963,20000.0,0.0,43.501946443650034,0.06364358600806419,0.922996816217711,914,1.0
11,0.02257285206996879,19988.715888434996,21507.516642902658,41.690374948235245,0.057525631707015634,0.9780274345439204,953,1.0
12,0.022912756294539153,20000.0,0.0,41.24439703203292,0.05791673805702224,0.9479931913613339,963,1.0
13,0.02425825065537042,19957.127545551983,80000.0,42.56786206724146,0.05681255730366175,0.9873809117200608,933,1.0
14,0.02608730233607506,19986.279355521387,26425.96126581111,41.28618791096037,0.061223278676195036,0.9698639486780978,963,1.0
15,0.025908861937127003,19936.373276776245,60000.0,42.129918561185846,0.05965394889832076,0.9334110970846056,943,1.0
16,0.024063854404089893,19977.90055248619,20000.0,43.90627785100091,0.056561221373947035,0.9656003621493229,905,1.0
17,0.025372076204261608,20000.0,0.0,43.59865432482382,0.0621994202674614,0.9189775272847541,911,1.0
18,0.026809428957785503,20000.0,0.0,43.21524020794983,0.06441033134435337,0.9262191726952128,920,1.0
19,0.024357082979855928,20000.0,0.0,43.8706855216028,0.056287978748679635,0.9500647228945555,905,1.0
20,0.025205990228368412,19956.663055254605,20000.0,43.035670861697774,0.061520199349859084,0.9512598773514261,923,1.0
21,0.02238983792164726,19978.046103183315,20000.0,43.59893292054647,0.05235805279748895,0.9755166844915164,911,1.0
22,0.02286575504783006,20000.0,0.0,42.09205148734148,0.060636563880299484,0.9527955517976234,944,1.0
23,0.02421133766510648,19933.84785005513,20000.0,43.793826033140135,0.057890203863705025,0.9937280581759237,907,1.0
24,0.023957826803580353,20000.0,0.0,42.979500351219585,0.056602569682041796,0.9693998817748737,924,1.0
