episode_idx,total_reward,actor_loss,critic_loss,epsilon
0,1309.9761961243914,-0.05678701773285866,15.707351684570312,1.5
1,-5328.956043797251,-0.030912335962057114,15.176676750183105,1.5
2,763.079862774918,-0.03560636565089226,11.41480541229248,1.5
3,-4183.669764569598,-0.04218615964055061,15.073675155639648,1.5
4,-8386.38571713013,-0.019276965409517288,40.985260009765625,1.5
5,-2009.4705348404161,-0.04319486767053604,10.77824878692627,1.5
6,-2139.16755357726,-0.02757931500673294,10.74859619140625,1.5
7,-2064.298075571951,-0.016886357218027115,17.61955451965332,1.5
8,-5777.340493608584,-0.0320512056350708,22.719552993774414,1.5
9,7986.183688211803,-0.02290993742644787,11.284789085388184,1.5
10,949.1551725294271,-0.017284609377384186,14.38331127166748,1.5
11,19798.904212681526,-0.02944309636950493,13.139654159545898,1.5
12,14571.34460777244,-0.027817508205771446,12.109854698181152,1.5
13,8299.203667128937,-0.024611257016658783,14.212495803833008,1.5
14,23557.430338968552,-0.025545502081513405,13.443440437316895,1.5
