episode_idx,rmse_error,mean_jerk,roughness_proxy,mean_velocity,max_error,mean_kcm_intervention,steps,progress
0,0.323353984077295,9710.768728088517,2775446.9288885593,0.45352380367229644,0.7547423708859233,0.6718707028623345,526,0.21907728707987406
1,0.40679435891618726,8587.017450753752,7716841.931343079,0.5353255952556295,0.75416944341322,0.8853147500526206,1506,0.7520034002489866
2,0.35846496577649845,7890.114952836718,1738669.9701845646,0.36155862114259174,0.7587205015428323,0.6827317209299026,350,0.08572371538615262
3,0.3525907625822285,8746.15499919111,1372729.2849123478,0.38886425552980886,0.7578702844693238,0.6455008169773204,286,0.06506717541363533
4,0.36956819608937114,7729.662569669576,1474559.3167841434,0.37635891345831063,0.7540736920377084,0.7790796471159545,325,0.0848899055188769
5,0.37913513768777934,8537.412798463904,1416350.3558933735,0.40303522829484467,0.7502893267475672,0.6861616359526898,302,0.088638436095843
6,0.36417622563942303,7940.754623265024,1499446.1074471474,0.47961121985012556,0.7548537766123127,0.866000308559592,314,0.12538528283322375
7,0.3563709470666622,8388.828503036024,1372538.6342406273,0.41065825660561406,0.7538867054657873,0.7852023662192306,301,0.09128671617761562
8,0.3499634654155208,8948.070967951453,1556179.4550716877,0.4862749626164336,0.7506252119616511,0.9666593045871934,332,0.13794397202722825
9,0.3695898708680492,9235.138037792884,1843074.6337771416,0.4601662294143707,0.7507107614708065,0.8530470922170662,377,0.15284844665705197
10,0.40098961957086826,8759.203113741794,1963962.3501896858,0.48723677024425666,0.7500332549500557,0.9063491618774334,413,0.18529602127197545
11,0.3427184002797695,9375.31315634648,1415735.7294112444,0.4332452465221286,0.7516731956804916,0.7818334313154,300,0.09728262562286046
12,0.37498762415070985,8631.480038557153,1839679.5178949833,0.43136251659139874,0.7549953145654903,0.9157428407611978,381,0.14030972828352356
13,0.3553901937806107,8423.665674732012,1609746.3048994541,0.3994965870371636,0.7532310363894749,0.7864203238584858,340,0.10601068588655371
14,0.3479199031541811,8421.375058614869,1579951.5409767628,0.4329723037943855,0.7541610160421779,0.7483844008433193,317,0.10470130170683567
15,0.35163485577873,8907.579025521445,1493609.8545789719,0.44163129800043927,0.750867054755099,0.7447130549010906,313,0.10975652025631048
16,0.3536759812499295,8620.526977096286,1587938.2601380348,0.37924374324934823,0.7513520956500155,0.7892081942881103,350,0.10101433625977933
17,0.3605229181040369,8964.08233452927,1724298.7543344498,0.45674559069712733,0.7519112374225931,0.8891699993671286,352,0.13788867697793153
18,0.3828812509905266,9133.909001590719,1937544.4616377354,0.4789966046612522,0.7508815861401575,0.8974894422149143,377,0.1621743597383461
19,0.37106319337549415,8918.43632387975,1597005.8307051659,0.37299595447666833,0.7509749839013691,0.7851175288734048,341,0.0920752591018307
20,0.35102292400071344,7966.810498904708,1443293.0651307106,0.3947225588046952,0.7575848418988667,0.7556542339359846,302,0.08301671626506532
21,0.3743877051825431,8632.638186980517,1721225.842088461,0.421381574421272,0.7514746809227517,0.848516944014717,351,0.12396886138291763
22,0.3584698902440993,8829.312305221903,1867366.726398468,0.49857178025449495,0.7502620429484469,0.8900891111577314,386,0.1740859165193548
23,0.38699451199727397,8261.369908930825,1430644.2292034626,0.5291203821047408,0.7509171435670497,0.7819132688912116,305,0.14103170756677164
24,0.3543467396532894,8302.876476745505,1416878.2679736614,0.4026108416435602,0.7527428940419038,0.6686434338754144,286,0.07950427668619683
25,0.3545682206549439,8656.448154604133,1665077.0135223866,0.39236474329534965,0.7531591002191304,0.8118153893414481,316,0.08874935335609077
26,0.37664727914510443,9172.303129169271,1654640.1979029179,0.4888576936294756,0.7512167940815901,0.7404340160759421,328,0.13905531389541545
27,0.35312041432748686,9072.937990382592,1587869.4166988134,0.48141957556840426,0.7515602515707611,0.6711910992221378,322,0.13195943677908994
