step,x,y,velocity
0,-56.3190728230,19.3358030640,0.0000000000
1,-56.3190545304,19.3358111498,0.0200000000
2,-56.3189995523,19.3358351790,0.0600000000
3,-56.3188891245,19.3358821440,0.1200000000
4,-56.3187046427,19.3359593869,0.2000000000
5,-56.3184271958,19.3360735063,0.3000000000
6,-56.3180379071,19.3362311588,0.4200000000
7,-56.3175186691,19.3364409011,0.5600000000
8,-56.3168499803,19.3367078381,0.7200000000
9,-56.3160141544,19.3370415972,0.9000000000
10,-56.3149927081,19.3374498219,1.1000000000
11,-56.3137673625,19.3379406662,1.3200000000
12,-56.3123190027,19.3385201952,1.5600000000
13,-56.3106290037,19.3391956975,1.8200000000
14,-56.3086790832,19.3399753192,2.1000000000
15,-56.3064503261,19.3408656237,2.4000000000
16,-56.3039245918,19.3418751116,2.7200000000
17,-56.3010838717,19.3430126130,3.0600000000
18,-56.2979030784,19.3442691774,3.4200000000
19,-56.2943692509,19.3456663399,3.8000000000
20,-56.2904620242,19.3472069824,4.2000000000
21,-56.2861683249,19.3489124285,4.6200000000
22,-56.2814619761,19.3507708907,5.0600000000
23,-56.2763195550,19.3527773564,5.5200000000
24,-56.2707348596,19.3549707961,6.0000000000
25,-56.2646772013,19.3573276532,6.5000000000
26,-56.2581401637,19.3598864692,7.0200000000
27,-56.2510941735,19.3626264734,7.5600000000
28,-56.2435270545,19.3655714877,8.1200000000
29,-56.2354107513,19.3687044770,8.7000000000
30,-56.2267416158,19.3720713881,9.3000000000
31,-56.2174930432,19.3756589088,9.9200000000
32,-56.2076383589,19.3794534836,10.5600000000
33,-56.1971670493,19.3834833811,11.2200000000
34,-56.1860520314,19.3877338373,11.9000000000
35,-56.1742825739,19.3922327117,12.6000000000
36,-56.1618336217,19.3969704314,13.3200000000
37,-56.1486853508,19.4019510512,14.0600000000
38,-56.1348023122,19.4071369589,14.8200000000
39,-56.1202070067,19.4126448675,15.6000000000
40,-56.1048733391,19.4184619661,16.4000000000
41,-56.0887294362,19.4244538606,17.2200000000
42,-56.0718205459,19.4307983881,18.0600000000
43,-56.0540896799,19.4374001145,18.9200000000
44,-56.0355451794,19.4443385221,19.8000000000
45,-56.0161581483,19.4515933844,20.7000000000
46,-55.9959034647,19.4591546140,21.6200000000
47,-55.9747420180,19.4669742542,22.5600000000
48,-55.9526796463,19.4751254598,23.5200000000
49,-55.9296873134,19.4835872934,24.5000000000
50,-55.9057434850,19.4923590140,25.5000000000
51,-55.8808245008,19.5014339590,26.5200000000
52,-55.8549220394,19.5107298125,27.5200000000
53,-55.8279985693,19.5201986224,28.5400000000
54,-55.8001270866,19.5301060364,29.5800000000
55,-55.7712438790,19.5403319798,30.6400000000
56,-55.7413457297,19.5509272177,31.7200000000
57,-55.7103684064,19.5617696272,32.8200000000
58,-55.6783307147,19.5729727477,33.9400000000
59,-55.6452208572,19.5845634224,35.0800000000
60,-55.6109945220,19.5964754154,36.2400000000
61,-55.5755790242,19.6085584164,37.4200000000
62,-55.5389762549,19.6208767636,38.6200000000
63,-55.5011220669,19.6332979573,39.8400000000
64,-55.4621409105,19.6462608214,41.0800000000
65,-55.4219297398,19.6595174178,42.3400000000
66,-55.3804905949,19.6730086622,43.5800000000
67,-55.3377616229,19.6866050055,44.8400000000
68,-55.2938259369,19.7006303358,46.1200000000
69,-55.2486002683,19.7148885020,47.4200000000
70,-55.2021120017,19.7293981908,48.7000000000
71,-55.1543023157,19.7440349227,50.0000000000
72,-55.1052554994,19.7590031629,51.2800000000
73,-55.0549907231,19.7742970788,52.5400000000
74,-55.0034918769,19.7897940863,53.7800000000
75,-54.9508610872,19.8057628050,55.0000000000
76,-54.8969553080,19.8217972856,56.2400000000
77,-54.8417896589,19.8378721965,57.4600000000
78,-54.7853252475,19.8539177641,58.7000000000
79,-54.7275705425,19.8698802344,59.9200000000
80,-54.6685504302,19.8859168156,61.1600000000
81,-54.6083049671,19.9020954614,62.3800000000
82,-54.5467168165,19.9180455117,63.6200000000
83,-54.4838079014,19.9339163276,64.8800000000
84,-54.4195369337,19.9496130888,66.1600000000
85,-54.3539298450,19.9651426193,67.4200000000
86,-54.2870400839,19.9806331151,68.6600000000
87,-54.2189246441,19.9962376420,69.8800000000
88,-54.1495538467,20.0119139573,71.1200000000
89,-54.0789570113,20.0276988374,72.3400000000
90,-54.0071233585,20.0434486922,73.5400000000
91,-53.9341144657,20.0593477475,74.7200000000
