step,x,y,velocity
0,12.0000000000,0.0000000000,0.0000000000
1,11.9999995783,0.0000199956,0.0200000000
2,11.9999979811,0.0000799743,0.0600000000
3,11.9999942470,0.0001999162,0.1200000000
4,11.9999870957,0.0003997883,0.2000000000
5,11.9999754363,0.0006995616,0.3000000000
6,11.9999578155,0.0011191918,0.4200000000
7,11.9999333193,0.0016786558,0.5600000000
8,11.9999014142,0.0023979486,0.7200000000
9,11.9998609839,0.0032970400,0.9000000000
10,11.9998106033,0.0043958856,1.1000000000
11,11.9997499187,0.0057144900,1.3200000000
12,11.9996753757,0.0072727080,1.5600000000
13,11.9995840944,0.0090904175,1.8200000000
14,11.9994779230,0.0111877318,2.1000000000
15,11.9993548347,0.0135845734,2.4000000000
16,11.9992156148,0.0163010081,2.7200000000
17,11.9990583100,0.0193569622,3.0600000000
18,11.9988797460,0.0227722974,3.4200000000
19,11.9986792797,0.0265670060,3.8000000000
20,11.9984584824,0.0307611983,4.2000000000
21,11.9981997576,0.0353739481,4.6200000000
22,11.9979141395,0.0404258807,5.0600000000
23,11.9976157920,0.0459378122,5.5200000000
24,11.9972963367,0.0519293018,6.0000000000
25,11.9969498499,0.0584200604,6.5000000000
26,11.9965809286,0.0654303598,7.0200000000
27,11.9961816097,0.0729798064,7.5600000000
28,11.9957352016,0.0810875262,8.1200000000
29,11.9952611095,0.0897745991,8.7000000000
30,11.9947602353,0.0990611014,9.3000000000
31,11.9942144028,0.1089660732,9.9200000000
32,11.9936251332,0.1195096192,10.5600000000
33,11.9930010062,0.1307122468,11.2200000000
34,11.9923272994,0.1425931609,11.9000000000
35,11.9916120397,0.1551728431,12.6000000000
36,11.9908400742,0.1684704545,13.3200000000
37,11.9900208149,0.1825065656,14.0600000000
38,11.9891424455,0.1973005125,14.8200000000
39,11.9881943181,0.2128716735,15.6000000000
40,11.9872192372,0.2292426606,16.4000000000
41,11.9861663483,0.2464304418,17.2200000000
42,11.9850357961,0.2644550209,18.0600000000
43,11.9838246101,0.2833362134,18.9200000000
44,11.9825375887,0.3030943402,19.8000000000
45,11.9811647148,0.3237487639,20.7000000000
46,11.9797016776,0.3453192048,21.6200000000
47,11.9781765457,0.3678275938,22.5600000000
48,11.9765486291,0.3912911887,23.5200000000
49,11.9748430334,0.4157317481,24.5000000000
50,11.9731029086,0.4411723056,25.5000000000
51,11.9712786923,0.4676294905,26.5200000000
52,11.9693249010,0.4951201489,27.5600000000
53,11.9672306769,0.5236634253,28.6200000000
54,11.9649920569,0.5532789378,29.7000000000
55,11.9626013362,0.5839860128,30.8000000000
56,11.9600654770,0.6158051237,31.9200000000
57,11.9574199261,0.6487591016,33.0600000000
58,11.9546984798,0.6828707144,34.2200000000
59,11.9518140123,0.7181530025,35.4000000000
60,11.9487485078,0.7546243978,36.6000000000
61,11.9454828909,0.7923031471,37.8200000000
62,11.9420112380,0.8312085610,39.0600000000
63,11.9383202004,0.8713592601,40.3200000000
64,11.9344804700,0.9127816752,41.6000000000
65,11.9304128513,0.9554884015,42.9000000000
66,11.9261101181,0.9994985695,44.2200000000
67,11.9215591113,1.0448306987,45.5600000000
68,11.9166411009,1.0914922415,46.9200000000
69,11.9114628858,1.1395138626,48.3000000000
70,11.9060123776,1.1889140848,49.7000000000
71,11.9002480691,1.2393560235,50.7702317565
72,11.8944001409,1.2897883363,50.7702317565
73,11.8882725327,1.3401874320,50.7702317565
74,11.8819964782,1.3905682574,50.7702317565
75,11.8754519289,1.4409149088,50.7702317565
76,11.8686829874,1.4912318828,50.7702317565
77,11.8617955681,1.5415327763,50.7702317565
78,11.8548125358,1.5918204854,50.7702317565
79,11.8476206770,1.6420787544,50.7702317565
80,11.8401862442,1.6923017137,50.7702317565
81,11.8325428094,1.7424932901,50.7702317565
82,11.8245846681,1.7926359308,50.7702317565
83,11.8163932922,1.8427409983,50.7702317565
84,11.8080486570,1.8928207697,50.7702317565
85,11.7994197899,1.9434184490,51.3281842487
86,11.7908083769,1.9934530370,50.7702317565
87,11.7820909015,2.0434692549,50.7702317565
88,11.7731887309,2.0934529301,50.7702317565
89,11.7641542792,2.1434128653,50.7702317565
90,11.7547610079,2.1938742262,51.3281842487
91,11.7451712189,2.2437305436,50.7702317565
92,11.7353130444,2.2935344875,50.7702317565
93,11.7252581884,2.3432990964,50.7702317565
94,11.7150281619,2.3930279914,50.7702317565
95,11.7045541969,2.4427060800,50.7702317565
96,11.6939325559,2.4923528037,50.7702317565
97,11.6831117462,2.5419564982,50.7702317565
98,11.6719837777,2.5914921899,50.7702317565
99,11.6606021574,2.6409702168,50.7702317565
100,11.6490545087,2.6904097581,50.7702317565
101,11.6372465367,2.7403612776,51.3281842487
102,11.6253744229,2.7897239087,50.7702317565
103,11.6133979342,2.8390613199,50.7702317565
104,11.6011995265,2.8883443320,50.7702317565
105,11.5886739840,2.9375452184,50.7702317565
106,11.5758687247,2.9872504277,51.3281842487
107,11.5630638480,3.0363793557,50.7702317565
108,11.5501282057,3.0854740152,50.7702317565
109,11.5368426116,3.1344751317,50.7702317565
110,11.5232991348,3.1834055994,50.7702317565
111,11.5096546669,3.2323080015,50.7702317565
112,11.4958657525,3.2811698708,50.7702317565
113,11.4819343975,3.3299913187,50.7702317565
114,11.4678784029,3.3787770282,50.7702317565
115,11.4535882957,3.4274946767,50.7702317565
116,11.4392353753,3.4761938564,50.7702317565
