step,x,y,velocity
0,0.0000000000,0.0000000000,0.0000000000
1,0.0000083823,0.0000181587,0.0200000000
2,0.0000335905,0.0000726063,0.0600000000
3,0.0000840859,0.0001814650,0.1200000000
4,0.0001683968,0.0003628256,0.2000000000
5,0.0002951144,0.0006347496,0.3000000000
6,0.0004726470,0.0010153835,0.4200000000
7,0.0007094101,0.0015228707,0.5600000000
8,0.0010137415,0.0021753907,0.7200000000
9,0.0013942675,0.0029909887,0.9000000000
10,0.0018594418,0.0039877899,1.1000000000
11,0.0024181272,0.0051837292,1.3200000000
12,0.0030788360,0.0065969043,1.5600000000
13,0.0038496095,0.0082456336,1.8200000000
14,0.0047388637,0.0101480602,2.1000000000
15,0.0057544490,0.0123225915,2.4000000000
16,0.0069042971,0.0147875964,2.7200000000
17,0.0081980754,0.0175606341,3.0600000000
18,0.0096447359,0.0206595973,3.4200000000
19,0.0112522674,0.0241028287,3.8000000000
20,0.0130314228,0.0279073795,4.2000000000
21,0.0149873291,0.0320929296,4.6200000000
22,0.0171301438,0.0366768085,5.0600000000
23,0.0194657685,0.0416783340,5.5200000000
24,0.0220057653,0.0471141795,6.0000000000
25,0.0247549029,0.0530041916,6.5000000000
26,0.0277237241,0.0593655201,7.0200000000
27,0.0309196629,0.0662167663,7.5600000000
28,0.0343534525,0.0735749923,8.1200000000
29,0.0380334642,0.0814583618,8.7000000000
30,0.0419693620,0.0898844349,9.3000000000
31,0.0461733938,0.0988695624,9.9200000000
32,0.0506505096,0.1084335069,10.5600000000
33,0.0554040631,0.1185967804,11.2200000000
34,0.0604455811,0.1293760706,11.9000000000
35,0.0657837044,0.1407894154,12.6000000000
36,0.0714225648,0.1528569609,13.3200000000
37,0.0773782346,0.1655932711,14.0600000000
38,0.0836606627,0.1790157707,14.8200000000
39,0.0902798979,0.1931418362,15.6000000000
40,0.0972333128,0.2079947827,16.4000000000
41,0.1045315081,0.2235917294,17.2200000000
42,0.1121840302,0.2399061189,18.0200000000
43,0.1201878699,0.2569614450,18.8400000000
44,0.1285618609,0.2747709559,19.6800000000
45,0.1373060919,0.2933567037,20.5400000000
46,0.1464220715,0.3127400810,21.4200000000
47,0.1559294659,0.3329339378,22.3200000000
48,0.1658308003,0.3539591887,23.2400000000
49,0.1761429494,0.3758299908,24.1800000000
50,0.1868510611,0.3985754506,25.1400000000
51,0.1979810166,0.4222054843,26.1200000000
52,0.2095425243,0.4467376252,27.1200000000
53,0.2215374715,0.4721488676,28.1000000000
54,0.2339742828,0.4984573401,29.1000000000
55,0.2467707168,0.5255441904,29.9574060812
56,0.2594803950,0.5524578423,29.7637460632
57,0.2721864922,0.5793731850,29.7637460632
58,0.2849184555,0.6062763018,29.7637460632
59,0.2976815496,0.6331846518,29.7818043520
60,0.3104570927,0.6600870935,29.7818043520
61,0.3232599229,0.6869765600,29.7818043520
62,0.3360026848,0.7136991400,29.6053080640
63,0.3487478334,0.7404205818,29.6053080640
64,0.3614863465,0.7671451875,29.6053080640
65,0.3742408397,0.7938621703,29.6053080640
66,0.3869952911,0.8205791731,29.6053080640
67,0.3998026276,0.8472974297,29.6292610155
68,0.4125009559,0.8738893481,29.4682484370
69,0.4251706835,0.9004949052,29.4682484370
70,0.4379021377,0.9270709798,29.4682484370
71,0.4506806459,0.9536244616,29.4682484370
72,0.4634949641,0.9801606805,29.4682484370
73,0.4763361109,1.0066839272,29.4682484370
74,0.4891544018,1.0330881067,29.3511375649
75,0.5019707156,1.0594932459,29.3511375649
76,0.5147623884,1.0859103310,29.3511375649
77,0.5276217503,1.1122945324,29.3511375649
78,0.5404747525,1.1386818326,29.3511375649
79,0.5533391622,1.1650635733,29.3511375649
80,0.5662042373,1.1914449894,29.3511375649
81,0.5790254760,1.2176988146,29.2172465511
82,0.5918689243,1.2439813455,29.2527878230
83,0.6047276528,1.2702564039,29.2527878230
84,0.6176176388,1.2965161422,29.2527878230
85,0.6306052000,1.3227277590,29.2527878230
86,0.6435878450,1.3489418110,29.2527878230
87,0.6565001209,1.3750543439,29.1305895096
88,0.6693859608,1.4011799324,29.1305895096
89,0.6823259792,1.4273251939,29.1722260608
90,0.6952479294,1.4534793901,29.1722260608
91,0.7081511153,1.4796428487,29.1722260608
