step,x,y,velocity
0,4.4000000000,0.0000000000,0.0000000000
1,4.4000200000,-0.0000000000,0.0200000000
2,4.4000800000,-0.0000000001,0.0600000000
3,4.4002000000,-0.0000000003,0.1200000000
4,4.4004000000,-0.0000000012,0.2000000000
5,4.4006600000,-0.0000000031,0.2600000000
6,4.4010000000,-0.0000000068,0.3400000000
7,4.4014400000,-0.0000000138,0.4400000000
8,4.4020000000,-0.0000000260,0.5600000000
9,4.4027000000,-0.0000000461,0.7000000000
10,4.4035600000,-0.0000000778,0.8600000000
11,4.4045600000,-0.0000001238,1.0000000000
12,4.4057200000,-0.0000001892,1.1600000000
13,4.4070600000,-0.0000002803,1.3400000000
14,4.4086000000,-0.0000004046,1.5400000000
15,4.4103600000,-0.0000005713,1.7600000000
16,4.4123600000,-0.0000007910,2.0000000000
17,4.4146199999,-0.0000010764,2.2600000000
18,4.4171599999,-0.0000014418,2.5400000000
19,4.4199999999,-0.0000019038,2.8400000000
20,4.4231599998,-0.0000024811,3.1600000000
21,4.4266599998,-0.0000031950,3.5000000000
22,4.4305199997,-0.0000040686,3.8600000000
23,4.4347599995,-0.0000051285,4.2400000000
24,4.4393999994,-0.0000064031,4.6400000000
25,4.4444599991,-0.0000079242,5.0600000000
26,4.4499599988,-0.0000097260,5.5000000000
27,4.4559199985,-0.0000118458,5.9600000000
28,4.4623599980,-0.0000143282,6.4400000000
29,4.4692999974,-0.0000172172,6.9400000000
30,4.4767599966,-0.0000205604,7.4600000000
31,4.4847599957,-0.0000244040,8.0000000000
32,4.4933199946,-0.0000288055,8.5600000000
33,4.5024199932,-0.0000337946,9.1000000000
34,4.5120799916,-0.0000394368,9.6600000000
35,4.5222799896,-0.0000457595,10.2000000000
36,4.5330399873,-0.0000528329,10.7600000000
37,4.5443799845,-0.0000607217,11.3400000000
38,4.5563199813,-0.0000694847,11.9400000000
39,4.5688399776,-0.0000791589,12.5200000000
40,4.5819599732,-0.0000898416,13.1200000000
41,4.5956999682,-0.0001016453,13.7400000000
42,4.6100399623,-0.0001145962,14.3400000000
43,4.6249999556,-0.0001287560,14.9600000000
44,4.6405599480,-0.0001441336,15.5600000000
45,4.6567399393,-0.0001608955,16.1800000000
46,4.6735199296,-0.0001790001,16.7800000000
47,4.6909199185,-0.0001986215,17.4000000000
48,4.7089599060,-0.0002198871,18.0400000000
49,4.7276598919,-0.0002428376,18.7000000000
50,4.7470398762,-0.0002674849,19.3800000000
51,4.7670798587,-0.0002940070,20.0400000000
52,4.7877998394,-0.0003222639,20.7200000000
53,4.8092198180,-0.0003525291,21.4200000000
54,4.8313597944,-0.0003848755,22.1400000000
55,4.8542397681,-0.0004195508,22.8800000000
56,4.8778797388,-0.0004567813,23.6400000000
57,4.9022997067,-0.0004963906,24.4200000000
58,4.9275196713,-0.0005386393,25.2200000000
59,4.9535596329,-0.0005833248,26.0400000000
60,4.9803995918,-0.0006303040,26.8400000000
61,5.0080595470,-0.0006800939,27.6600000000
62,5.0365594975,-0.0007332133,28.5000000000
63,5.0659194438,-0.0007893753,29.3600000000
64,5.0961593861,-0.0008484342,30.2400000000
65,5.1272993252,-0.0009100483,31.1400000000
66,5.1593592585,-0.0009754231,32.0600000000
67,5.1923591862,-0.0010444981,33.0000000000
68,5.2263191088,-0.0011170216,33.9600000000
69,5.2612590260,-0.0011930916,34.9400000000
70,5.2971989376,-0.0012727835,35.9400000000
71,5.3341588424,-0.0013566592,36.9600000000
72,5.3721587386,-0.0014454834,38.0000000000
73,5.4112186327,-0.0015364453,39.0600000000
74,5.4513585170,-0.0016328256,40.1400000000
75,5.4925983895,-0.0017353563,41.2400000000
76,5.5349182554,-0.0018419182,42.3200000000
77,5.5783381155,-0.0019521348,43.4200000000
78,5.6228779639,-0.0020683527,44.5400000000
79,5.6685578035,-0.0021893846,45.6800000000
80,5.7153976390,-0.0023135325,46.8400000000
81,5.7634174633,-0.0024434189,48.0200000000
82,5.8126372721,-0.0025806362,49.2200000000
83,5.8630370817,-0.0027191698,50.4000000000
84,5.9145968827,-0.0028624087,51.5600000000
85,5.9673366678,-0.0030129720,52.7400000000
86,6.0212364490,-0.0031665432,53.9000000000
87,6.0762762161,-0.0033266655,55.0400000000
88,6.1324759643,-0.0034948889,56.2000000000
89,6.1898156943,-0.0036708741,57.3400000000
90,6.2483154172,-0.0038509146,58.5000000000
91,6.3079551294,-0.0040361939,59.6400000000
92,6.3687148302,-0.0042268936,60.7600000000
93,6.4306145359,-0.0044177712,61.9000000000
94,6.4936342214,-0.0046168409,63.0200000000
95,6.5577939200,-0.0048135167,64.1600000000
96,6.6230736049,-0.0050163323,65.2800000000
97,6.6894932961,-0.0052188831,66.4200000000
98,6.7570729521,-0.0054345030,67.5800000000
99,6.8258325925,-0.0056568750,68.7600000000
100,6.8957922603,-0.0058724948,69.9600000000
101,6.9669319272,-0.0060901743,71.1400000000
102,7.0392715583,-0.0063212046,72.3400000000
103,7.1127912373,-0.0065384550,73.5200000000
104,7.1874709514,-0.0067451109,74.6800000000
105,7.2632906559,-0.0069567787,75.8200000000
106,7.3402303095,-0.0071876569,76.9400000000
107,7.4181503317,-0.0074313220,77.9204031859
108,7.4960703952,-0.0076614033,77.9204031859
109,7.5739904390,-0.0078980701,77.9204031859
110,7.6519104550,-0.0081436969,77.9204031859
111,7.7298304741,-0.0083883620,77.9204031859
112,7.8077505199,-0.0086243688,77.9204031859
113,7.8856705449,-0.0088671384,77.9204031859
114,7.9635905610,-0.0091127280,77.9204031859
115,8.0415105424,-0.0093691175,77.9204031859
116,8.1194304968,-0.0096335791,77.9204031859
117,8.1973504626,-0.0098946654,77.9204031859
118,8.2752704017,-0.0101635841,77.9204031859
119,8.3531903119,-0.0104407547,77.9204031859
120,8.4311102144,-0.0107200911,77.9204031859
121,8.5090301503,-0.0109899621,77.9204031859
122,8.5869501008,-0.0112555560,77.9204031859
123,8.6648700514,-0.0115211465,77.9204031859
124,8.7427900205,-0.0117812196,77.9204031859
125,8.8207099462,-0.0120540194,77.9204031859
126,8.8986299125,-0.0123149505,77.9204031859
127,8.9765498620,-0.0125808439,77.9204031859
128,9.0544698088,-0.0128475355,77.9204031859
129,9.1323899784,-0.0130383216,77.9204031859
130,9.2103101216,-0.0132396015,77.9204031859
131,9.2882302368,-0.0134514662,77.9204031859
132,9.3661502811,-0.0136879501,77.9204031859
133,9.4440703838,-0.0139043379,77.9204031859
134,9.5219904511,-0.0141331368,77.9204031859
135,9.5999105708,-0.0143433196,77.9204031859
136,9.6778306482,-0.0145686632,77.9204031859
137,9.7557506689,-0.0148128072,77.9204031859
138,9.8336707556,-0.0150348697,77.9204031859
139,9.9115908230,-0.0152636505,77.9204031859
140,9.9895107897,-0.0155244552,77.9204031859
141,10.0674307029,-0.0158007741,77.9204031859
142,10.1453506596,-0.0160645508,77.9204031859
143,10.2232706118,-0.0163296770,77.9204031859
144,10.3011906809,-0.0165578587,77.9204031859
145,10.3791107312,-0.0167923552,77.9204031859
146,10.4570307840,-0.0170260344,77.9204031859
147,10.5349508150,-0.0172668784,77.9204031859
148,10.6128707524,-0.0175362832,77.9204031859
149,10.6907906683,-0.0178118522,77.9204031859
150,10.7687107097,-0.0180493124,77.9204031859
151,10.8466307357,-0.0182917420,77.9204031859
152,10.9245507701,-0.0185315012,77.9204031859
153,11.0024707214,-0.0187968475,77.9204031859
154,11.0803905846,-0.0190869575,77.9204031859
155,11.1583105017,-0.0193621778,77.9204031859
156,11.2362304607,-0.0196252638,77.9204031859
157,11.3141504064,-0.0198922903,77.9204031859
158,11.3920703077,-0.0201719487,77.9204031859
159,11.4699902313,-0.0204453293,77.9204031859
160,11.5479102256,-0.0206977748,77.9204031859
161,11.6258301779,-0.0209628487,77.9204031859
162,11.7037502105,-0.0212031553,77.9204031859
163,11.7816501113,-0.0214829410,77.9004031859
164,11.8595100647,-0.0217475854,77.8604031859
165,11.9373101969,-0.0219529408,77.8004031859
166,12.0150302964,-0.0221702153,77.7204031859
