step,x,y,velocity
0,0.0000000000,0.0000000000,0.0000000000
1,0.0000200000,-0.0000000000,0.0200000000
2,0.0000400000,-0.0000000000,0.0200000000
3,0.0000800000,-0.0000000001,0.0400000000
4,0.0001600000,-0.0000000005,0.0800000000
5,0.0003000000,-0.0000000015,0.1400000000
6,0.0005200000,-0.0000000039,0.2200000000
7,0.0008400000,-0.0000000090,0.3200000000
8,0.0012800000,-0.0000000186,0.4400000000
9,0.0018600000,-0.0000000352,0.5800000000
10,0.0025600000,-0.0000000610,0.7000000000
11,0.0034000000,-0.0000000996,0.8400000000
12,0.0044000000,-0.0000001560,1.0000000000
13,0.0055800000,-0.0000002363,1.1800000000
14,0.0069600000,-0.0000003477,1.3800000000
15,0.0085600000,-0.0000004993,1.6000000000
16,0.0103600000,-0.0000006971,1.8000000000
17,0.0123800000,-0.0000009523,2.0200000000
18,0.0146399999,-0.0000012776,2.2600000000
19,0.0171599999,-0.0000016878,2.5200000000
20,0.0199599999,-0.0000021997,2.8000000000
21,0.0230599998,-0.0000028323,3.1000000000
22,0.0264799997,-0.0000036072,3.4200000000
23,0.0302399996,-0.0000045481,3.7600000000
24,0.0343599994,-0.0000056813,4.1200000000
25,0.0388599992,-0.0000070359,4.5000000000
26,0.0437599990,-0.0000086444,4.9000000000
27,0.0490799986,-0.0000105421,5.3200000000
28,0.0548399982,-0.0000127673,5.7600000000
29,0.0610599976,-0.0000153596,6.2200000000
30,0.0677599970,-0.0000183653,6.7000000000
31,0.0749599961,-0.0000218332,7.2000000000
32,0.0826799951,-0.0000258116,7.7200000000
33,0.0909399939,-0.0000303566,8.2600000000
34,0.0997599923,-0.0000355333,8.8200000000
35,0.1091599905,-0.0000413949,9.4000000000
36,0.1191599883,-0.0000480114,10.0000000000
37,0.1297799857,-0.0000554591,10.6200000000
38,0.1410399826,-0.0000637925,11.2600000000
39,0.1529599790,-0.0000731063,11.9200000000
40,0.1655599747,-0.0000834546,12.6000000000
41,0.1788599698,-0.0000949502,13.3000000000
42,0.1928799640,-0.0001076809,14.0200000000
43,0.2076399573,-0.0001217405,14.7600000000
44,0.2231599496,-0.0001372056,15.5200000000
45,0.2394599408,-0.0001541698,16.3000000000
46,0.2565199307,-0.0001726728,17.0600000000
47,0.2743599193,-0.0001928655,17.8400000000
48,0.2929999064,-0.0002148105,18.6400000000
49,0.3124598918,-0.0002386551,19.4600000000
