path_name,env_step,time_s,progress,reward,x,y,contour_error,velocity,acceleration,jerk,omega,angular_acc,angular_jerk,raw_linear_jerk_demand,raw_angular_jerk_demand,kcm_intervention,disable_kcm,cornerness,lookahead_dist_active
circle,1,0.001,1.9894261527042545e-07,-0.15580041576013665,49.99999955886721,6.249844319547683e-05,2.3639184309385777e-07,0.0625,62.5,62500.0,0.001,1.0,1000.0,4492194.205522537,6139455.501833418,1.0212624781216548,False,0.021897810218979227,3.6017728376388547
circle,2,0.002,7.95753635429719e-07,-0.1562256727139919,49.99999736820372,0.000249985645408053,1.8128544581187498e-06,0.1875,125.0,62500.0,0.003,2.0,1000.0,4410688.08734417,6138305.632787642,1.0202644095973277,False,0.041970802919710185,3.602079311609268
circle,3,0.003,1.989320253414917e-06,-0.15666233107151853,49.99999134508034,0.0006249372716010237,6.607641906896699e-06,0.375,187.5,62500.0,0.006,3.0,1000.0,4209038.689732552,6135815.3368531475,1.017851572713475,False,0.06037104622871356,3.602086287736893
circle,4,0.004,3.978487256972585e-06,-0.15722927882222162,49.99997893681352,0.0012498140873931395,1.6968808879717053e-05,0.625,250.0,62500.0,0.01,4.0,1000.0,3947436.273097992,6132316.052749975,1.0146786201848266,False,0.07723793592863332,3.602079311609268
circle,5,0.005,6.9620664362446405e-06,-0.15798930713603132,49.999957362937835,0.002187065824061527,3.547222688138149e-05,0.9375,312.5,62500.0,0.015,5.0,1000.0,3625878.9747953415,6127806.656957038,1.0107453545709963,False,0.09269925148689309,3.6020574319362635
circle,6,0.006,1.1138849913550075e-05,-0.15905026239444123,49.99992376690646,0.003499135775198361,6.476986948951454e-05,1.3125,375.0,62500.0,0.020999999999999998,6.0,1000.0,3244861.513376236,6122181.538492359,1.0060399145476742,False,0.10791487694953285,3.602083909511566
circle,7,0.007,1.670762139838189e-05,-0.1604566273598266,49.999875301002106,0.005248464519635699,0.00010750488969861883,1.75,437.5,62500.0,0.027999999999999997,7.0,1000.0,2809639.5283937454,6115785.992836023,1.0006698119928734,False,0.12186253362361929,3.602030795812607
circle,8,0.008,2.386716369073838e-05,-0.16228946870850175,49.99980916827273,0.007497492412327529,0.0001662696762432248,2.25,500.0,62500.0,0.036,8.0,1000.0,2308752.164244652,6108270.979437662,0.9944648868216316,False,0.13464788557486518,3.6019651567935944
circle,9,0.009000000000000001,3.281626050011255e-05,-0.16461273562761822,49.9997226383993,0.010308661000477877,0.00024358998132435815,2.8125,562.5,62500.0,0.045,9.0,1000.0,1748181.4920902252,6099755.9660393,0.9875039736272443,False,0.14636779153017393,3.6018850898742674
circle,10,0.01,4.3753705540439114e-05,-0.1674815703260192,49.99961304814839,0.013744413643917978,0.00034192446592842585,3.4375,625.0,62500.0,0.055,10.0,1000.0,1127960.667014122,6090240.57813391,0.9797873443559036,False,0.1571110386558736,3.601790277957916
circle,11,0.011,5.6878292525652796e-05,-0.17094263268617144,49.99947779299188,0.017867195598210157,0.00046367307986419745,4.125,687.5,62500.0,0.066,11.0,1000.0,448120.6089258194,6079723.692200408,0.9713151293927701,False,0.166959015187765,3.60167976975441
circle,12,0.012,7.199111132649705e-05,-0.17504160162787796,49.99931850572392,0.02261452406443883,0.0006074077250791996,4.75,625.0,-62500.0,0.078,12.0,1000.0,-291284.6654653549,6068205.68274582,0.9679136218188884,False,0.17598632700866543,3.6015527725219725
circle,13,0.013000000000000001,8.88932918314822e-05,-0.17987145155349174,49.99913707890745,0.02792392521336945,0.0007714405067272497,5.3125,562.5,-62500.0,0.091,13.0,1000.0,-841257.2592496872,6054976.109937476,0.9713077958492898,False,0.18426136284449082,3.601774423122406
circle,14,0.014,0.0001073859675670974,-0.18539482766387444,49.99893557595371,0.03373293139426081,0.0009539126623574782,5.8125,500.0,-62500.0,0.105,14.0,1000.0,-1327928.9156198502,6040761.142903237,0.9739121301436038,False,0.1918468123606641,3.601977206468582
